ESTABLECIMIENTOS SIN NUMERO EN COLUMNA C
Archivo fuente: C:\Users\Nazareno\Downloads\LISTADO ESTABLECIMIENTOS - 17 ZONAS  (1).xlsx
Hoja: ESTABLECIMIENTOS
Total encontrados: 130

Fila 625 | C='' | Zona 14.0 | N° 37.0 | ESCUELA NOCTURNA DR. CARLOS VAZ FERREIRA | CUE 140046300.0 | Almirante Brown Esq. O. Navarro Barrio | ROSEDAL
Fila 626 | C='' | Zona 14.0 | N° 38.0 | ESCUELA NOCTURNA LUIS MARIA DRAGO | CUE 140225500.0 | FORESTIERI ESQ. IBARRA | VILLA LIBERTADOR
Fila 627 | C='' | Zona 14.0 | N° 39.0 | CENMA Nº 94 EXTENCION AULICA Bº ROSEDAL | CUE 140227604.0 | ALMIRANTE BROWN ESQ OCTAVIO NAVARRO | ROSEDAL
Fila 628 | C='' | Zona 14.0 | N° 40.0 | CENMA ALEJANDRO CARBO ANEXO VILLA LIBERTADOR | CUE 140509801.0 | CARMELO IBARRA Y VICENTE FORESTIERI | VILLA LIBERTADOR
Fila 629 | C='' | Zona 14.0 | N° 41.0 | CENMA N° 107 ANEXO B° COLINAS DE BELLA VISTA | CUE 140011901.0 | LA PAMPA 1600 | BELLA VISTA
Fila 630 | C='' | Zona 14.0 | N° 42.0 | CENMA AEJANDRO CARBO ANEXO B° CABILDO | CUE 140509802.0 | USHUAIA Y COLORADO | CABILDO
Fila 631 | C='' | Zona 14.0 | N° 43.0 | CENMA DEAN FUNES | CUE 140511200.0 | PERU 10 | NUEVA CORDOBA
Fila 632 | C='' | Zona 14.0 | N° 44.0 | CENMA N° 111 SEDE Si.Re.LyF | CUE 140288212.0 | Ituzaingó 548 | NUEVA CORDOBA
Fila 633 | C='' | Zona 14.0 | N° 45.0 | CENMA B° SMATA | CUE 140542700.0 | CALLE PUBLICA S/N | SMATA
Fila 634 | C='' | Zona 14.0 | N° 46.0 | CENMA B° PARQUE FUTURA | CUE 140554200.0 | BARBADOS Y HAITI | VICCOR
